tpS_10 tpS_20 tpS_40 tpS_80 twS_10 twS_20 twS_40 twS_80 taS_10 taS_20 taS_40 taS_80 deS_10 deS_20 deS_40 deS_80 tpN_10 tpN_20 tpN_40 tpN_80 twN_10 twN_20 twN_40 twN_80 taN_10 taN_20 taN_40 taN_80 deN_10 deN_20 deN_40 deN_80 pBar2 pBar4 LD2 rmean2 LD4 rmean4 n2 n4 B Bprime cSq10 cSq20 cSq40 cSq80 S10_0 S10_1 S10_2 S10_3 S10_4 S10_5 S10_6 S10_7 S10_8 S10_9 S10_10 S20_0 S20_1 S20_2 S20_3 S20_4 S20_5 S20_6 S20_7 S20_8 S20_9 S20_10 S20_11 S20_12 S20_13 S20_14 S20_15 S20_16 S20_17 S20_18 S20_19 S20_20 S40_0 S40_1 S40_2 S40_3 S40_4 S40_5 S40_6 S40_7 S40_8 S40_9 S40_10 S40_11 S40_12 S40_13 S40_14 S40_15 S40_16 S40_17 S40_18 S40_19 S40_20 S40_21 S40_22 S40_23 S40_24 S40_25 S40_26 S40_27 S40_28 S40_29 S40_30 S40_31 S40_32 S40_33 S40_34 S40_35 S40_36 S40_37 S40_38 S40_39 S40_40 S80_0 S80_1 S80_2 S80_3 S80_4 S80_5 S80_6 S80_7 S80_8 S80_9 S80_10 S80_11 S80_12 S80_13 S80_14 S80_15 S80_16 S80_17 S80_18 S80_19 S80_20 S80_21 S80_22 S80_23 S80_24 S80_25 S80_26 S80_27 S80_28 S80_29 S80_30 S80_31 S80_32 S80_33 S80_34 S80_35 S80_36 S80_37 S80_38 S80_39 S80_40 S80_41 S80_42 S80_43 S80_44 S80_45 S80_46 S80_47 S80_48 S80_49 S80_50 S80_51 S80_52 S80_53 S80_54 S80_55 S80_56 S80_57 S80_58 S80_59 S80_60 S80_61 S80_62 S80_63 S80_64 S80_65 S80_66 S80_67 S80_68 S80_69 S80_70 S80_71 S80_72 S80_73 S80_74 S80_75 S80_76 S80_77 S80_78 S80_79 S80_80 N10_0 N10_1 N10_2 N10_3 N10_4 N10_5 N10_6 N10_7 N10_8 N10_9 N10_10 N20_0 N20_1 N20_2 N20_3 N20_4 N20_5 N20_6 N20_7 N20_8 N20_9 N20_10 N20_11 N20_12 N20_13 N20_14 N20_15 N20_16 N20_17 N20_18 N20_19 N20_20 N40_0 N40_1 N40_2 N40_3 N40_4 N40_5 N40_6 N40_7 N40_8 N40_9 N40_10 N40_11 N40_12 N40_13 N40_14 N40_15 N40_16 N40_17 N40_18 N40_19 N40_20 N40_21 N40_22 N40_23 N40_24 N40_25 N40_26 N40_27 N40_28 N40_29 N40_30 N40_31 N40_32 N40_33 N40_34 N40_35 N40_36 N40_37 N40_38 N40_39 N40_40 N80_0 N80_1 N80_2 N80_3 N80_4 N80_5 N80_6 N80_7 N80_8 N80_9 N80_10 N80_11 N80_12 N80_13 N80_14 N80_15 N80_16 N80_17 N80_18 N80_19 N80_20 N80_21 N80_22 N80_23 N80_24 N80_25 N80_26 N80_27 N80_28 N80_29 N80_30 N80_31 N80_32 N80_33 N80_34 N80_35 N80_36 N80_37 N80_38 N80_39 N80_40 N80_41 N80_42 N80_43 N80_44 N80_45 N80_46 N80_47 N80_48 N80_49 N80_50 N80_51 N80_52 N80_53 N80_54 N80_55 N80_56 N80_57 N80_58 N80_59 N80_60 N80_61 N80_62 N80_63 N80_64 N80_65 N80_66 N80_67 N80_68 N80_69 N80_70 N80_71 N80_72 N80_73 N80_74 N80_75 N80_76 N80_77 N80_78 N80_79 N80_80
0.00556444444444444 0.00619368421052632 0.00726615384615385 0.00576582278481013 0.00650413802777388 0.00845608835462106 0.0144820446004946 0.00880278263737909 -0.704454714035649 -1.09151276314365 -1.8424424940681 -1.16506101355244 0.144476267157427 0.267547363416371 0.498264641036551 0.344999982127603 0.00820444444444444 0.0125410526315789 0.00972974358974359 0.00853860759493671 0.0103217842614672 0.0190543857590795 0.0179614968746394 0.0188169573808195 -1.01118740147804 -1.4166145292871 -1.70082085655731 -1.87679105326725 0.205133120726728 0.341828553796172 0.458299959204324 0.546228041966005 0.7138856 0.9803924 0.000108725054628935 2.78169429374914e-05 0.000277869577544285 8.73711499630126e-06 307 334 0.914330994571518 0.426930379746835 0.462527217054333 3.25800804268857 5.96463601175369 9.26313798424023 186 15 11 1 3 0 0 3 6 7 697 162 28 10 5 5 3 0 0 3 0 0 0 1 0 0 2 5 2 5 6 692 116 59 13 5 6 1 3 5 1 0 4 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 8 0 5 1 5 32 659 141 21 12 7 3 7 0 11 1 0 1 3 1 0 1 3 0 0 0 0 0 0 1 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 1 0 0 0 0 0 0 2 0 0 1 0 0 6 6 0 3 0 3 5 4 679 226 42 19 8 0 1 0 0 3 0 37 165 44 70 9 2 2 0 1 3 0 0 0 0 0 0 3 0 0 35 0 2 143 41 69 10 2 13 5 4 2 0 0 0 0 0 3 1 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 35 0 2 101 49 66 15 12 6 4 17 6 3 0 0 0 1 0 7 0 1 0 5 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 35 0 2
0.0107644444444444 0.00990736842105263 0.0111394871794872 0.01023 0.0115943330060317 0.0113875323175564 0.013541652093969 0.0134060726404122 -0.353563705385771 -0.534116465511434 -0.655093425701888 -0.808976010794733 0.0715770852152966 0.129981092938084 0.177390830735613 0.236912981572099 0.0125955555555556 0.01696 0.016914358974359 0.0167846835443038 0.0169673165941927 0.0148827155041331 0.0183376538772497 0.0174440463272833 -1.27955837861742 0.576387139732661 -0.288134238333958 -0.129715224886194 0.25765777483833 -0.139576980779486 0.077615975981338 0.0377987291829341 0.7135896 0.986952 -0.000160721035042893 -5.40711191221307e-06 -0.000266879200818342 1.50410242079163e-05 270 353 0.91288225989221 0.83923417721519 0.760050457451499 1.09720606454201 1.39283469154209 2.40209462775135 128 30 9 5 0 15 0 8 2 13 684 119 24 21 1 0 1 1 5 0 8 1 6 0 6 1 0 0 1 11 14 674 92 25 16 11 3 14 2 0 4 0 2 0 1 2 1 0 1 0 0 6 0 7 0 0 0 0 0 4 0 1 3 0 0 0 0 9 2 5 11 14 658 72 37 14 6 3 10 11 2 0 1 4 1 2 0 0 0 3 0 0 0 1 0 0 0 1 0 0 0 1 0 6 0 3 0 2 0 0 0 0 0 0 0 0 1 0 0 4 0 1 0 7 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 2 0 0 1 8 3 4 5 8 11 656 233 76 11 2 2 0 0 16 2 11 0 221 19 24 27 5 11 0 13 20 0 0 0 11 0 0 2 0 0 0 0 0 158 67 15 29 5 2 18 1 0 4 0 5 2 2 0 13 19 0 0 0 0 0 0 0 11 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 137 43 28 25 5 9 8 3 2 12 2 6 0 0 3 5 9 3 1 0 0 0 0 0 0 19 7 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00560888888888889 0.00771578947368421 0.00775333333333333 0.00639683544303797 0.00607995511291906 0.00845608835462106 0.0109085530756972 0.0084797447424294 -0.377012426952342 -0.357162392578121 -1.06306260911084 -0.828493804620289 0.0774785693777941 0.0875462566012918 0.289242736453591 0.245633490471635 0.00807111111111111 0.00841894736842105 0.00900461538461538 0.00838126582278481 0.00777668677233834 0.00913257542299075 0.0117549063315703 0.0132445536929373 0.185489658216228 -0.319449460648088 -0.861434251314294 -1.25350441836518 -0.0378598685265352 0.0781409428903455 0.233969618249397 0.367191525128241 0.7078348 0.9848492 -0.00022541382727852 9.82851953637224e-06 -0.000217505029767824 8.76529101721033e-05 306 333 0.884891337419122 0.41906329113924 0.855429096156369 0.962314771494348 0.703322802855994 1.05146449908734 191 15 1 0 7 5 3 0 1 11 710 165 17 17 0 1 1 14 0 3 0 0 0 1 0 6 2 1 0 5 7 704 134 38 14 1 10 3 4 0 0 0 0 0 8 2 0 0 0 0 0 2 0 4 0 0 1 0 0 1 4 0 0 0 1 0 1 0 3 0 5 14 694 145 17 7 7 10 0 7 0 1 12 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 1 0 0 0 3 0 0 1 0 0 0 0 0 4 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 1 0 3 2 5 2 1 8 694 254 19 14 5 17 0 0 0 0 0 24 228 26 12 5 23 1 5 5 0 4 0 0 0 0 0 0 0 0 0 0 24 184 37 28 20 3 1 0 4 9 6 2 0 1 1 4 0 4 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24 145 65 30 10 6 6 2 4 1 0 2 4 1 1 1 0 11 1 0 0 4 0 1 0 0 5 0 0 0 0 0 0 0 4 0 0 1 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24
0.00864 0.00949684210526316 0.00761538461538462 0.00778151898734177 0.0107459671763221 0.0119512715411978 0.0126952988380959 0.0133253131666748 -0.966772790188097 -0.844736558100445 -1.47574136853336 -1.42043057801648 0.195977443609023 0.205369732205802 0.400141366303844 0.416034813590532 0.00853333333333333 0.00577263157894737 0.00848871794871795 0.0092246835443038 0.0104631785664189 0.0113875323175564 0.0148582016031049 0.0143751863252613 -0.90942114477129 -2.02613436511138 -1.58590447041746 -1.22521357200605 0.184441584441585 0.493074406467536 0.428684697147729 0.358291201548225 0.7060468 0.993088 -0.000123760031294736 -3.47510586271799e-06 0.000273110673383786 4.39549143888028e-05 283 293 0.876260953253921 0.46123417721519 0.59943128456642 1.19381842537617 1.16885712796912 1.371908679442 141 29 17 3 1 0 0 4 10 12 706 118 28 15 16 5 6 1 1 2 0 1 0 1 0 0 5 5 3 7 10 699 98 30 32 10 1 6 6 3 2 0 1 0 0 0 1 0 0 0 1 0 0 0 0 2 0 1 0 0 0 0 0 0 3 2 1 6 2 2 11 12 690 74 26 17 19 9 9 15 5 1 4 0 0 0 6 2 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 5 0 0 0 2 3 2 7 2 5 5 2 11 684 219 36 25 3 1 0 0 1 8 0 0 192 64 21 0 3 0 3 0 0 1 0 0 0 0 0 1 0 0 0 8 0 135 70 12 33 15 0 2 12 2 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 1 0 0 0 0 0 8 0 0 0 0 0 0 0 115 53 27 6 17 6 9 7 0 16 1 5 2 12 2 0 0 0 0 1 0 0 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00992 0.0102315789473684 0.00848615384615385 0.00938405063291139 0.00975620704166082 0.0130787499884806 0.0101562390704767 0.0139713889565742 0.0826679889582697 -0.896977145706059 -0.603276696956923 -1.12213523071654 -0.0167885898320683 0.217694431319497 0.164439337508082 0.328338029806565 0.0139111111111111 0.0129305263157895 0.0129025641025641 0.0123978481012658 0.0142808248001122 0.0177014116223401 0.0157985941096305 0.0149405026414232 -0.128287109160648 -1.11586750357115 -0.678882434838526 -0.582408491590898 0.0258888190406341 0.269520047798307 0.183309349361728 0.1701853412286 0.7121272 0.990326 0.000179281682738056 2.39746696787181e-05 0.000135006703938176 3.83885228198316e-05 305 340 0.905737831235228 0.619892405063291 0.362486131922952 0.614323014910282 1.07944964750723 1.51534646741715 171 15 15 5 0 11 0 7 10 6 689 140 46 2 5 6 7 0 0 1 1 5 4 0 0 0 8 5 5 5 16 673 150 18 13 5 9 2 1 1 0 1 1 2 3 1 0 0 7 0 0 0 0 0 0 0 3 0 0 0 1 1 4 0 1 2 3 1 7 5 7 9 671 96 39 15 22 5 5 3 2 3 0 1 1 1 5 2 0 3 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 5 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 5 0 2 7 1 0 2 0 1 1 0 4 1 13 4 10 660 239 44 17 13 19 0 0 8 0 0 0 183 82 34 8 2 3 7 0 2 9 2 0 0 8 0 0 0 0 0 0 0 172 47 35 26 3 3 5 9 0 1 2 3 0 2 7 15 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 155 35 28 24 23 6 2 2 1 1 15 5 0 0 3 2 5 2 0 0 0 0 0 3 0 0 0 7 0 0 0 0 0 0 0 4 0 0 7 0 0 2 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00714666666666667 0.00704631578947369 0.0070548717948718 0.0087673417721519 0.00721110955253191 0.00980906249136043 0.0137297305952741 0.0153443000101103 -0.0436994181342855 -1.15348492712717 -1.79585197493324 -1.46758947152359 0.00893661168170945 0.281652472325475 0.486160944971481 0.428625498303923 0.00889777777777778 0.00855368421052632 0.00870666666666667 0.0108492405063291 0.0111701500911769 0.00868158404407762 0.00987412131851906 0.0159096163262723 -1.00423930078782 -0.0601468224621036 -0.433438795921025 -1.08978441574847 0.203432567588686 0.0147323153127286 0.118233776372872 0.318070261165679 0.7034888 0.9864432 -2.33729557670195e-05 1.35536668756821e-06 -0.000230980088697171 1.27792993632805e-05 293 305 0.863966964274989 0.542462025316456 0.358503101609174 0.995566158976923 1.29942099882638 3.60915887188841 155 12 14 5 2 2 3 2 8 3 721 134 26 15 1 4 5 0 0 0 0 0 3 0 2 0 4 2 3 9 13 706 100 50 14 5 3 4 4 0 0 1 0 0 3 0 1 0 0 0 3 0 0 0 0 0 2 0 0 0 0 1 0 0 1 0 4 0 5 5 11 29 681 68 36 10 12 36 2 1 2 1 1 2 2 2 0 3 0 0 0 2 0 0 1 0 0 3 0 0 1 0 0 0 3 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 1 0 2 0 1 0 1 2 0 3 1 5 24 6 6 13 669 210 45 14 7 4 3 0 0 0 6 16 212 12 15 18 12 2 0 4 1 7 0 0 0 0 0 0 0 6 0 0 16 184 25 12 4 19 5 12 2 1 0 0 4 8 2 0 0 0 0 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 16 108 35 34 34 8 4 8 11 0 5 2 3 0 0 2 0 0 5 1 0 4 14 0 0 0 0 0 0 0 0 4 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0
0.00470222222222222 0.00921263157894737 0.00683076923076923 0.00812886075949367 0.00523158928320943 0.00913257542299075 0.0108145138250447 0.0125177184293005 -0.489912426166554 0.0358364496436778 -1.35359426094971 -1.19539947476366 0.101186662853329 -0.00876599997795657 0.368370197562625 0.35061163059346 0.00833777777777778 0.0106736842105263 0.0104220512820513 0.00950620253164557 0.0124426988357413 0.0178141594670684 0.0174913006213766 0.016797970537384 -1.6314809224802 -1.65966678261959 -1.49928147268465 -1.48871604457083 0.329906004489338 0.400831443646953 0.404158015024097 0.434086248068511 0.7147348 0.9884936 -1.72772533597205e-05 1.80623257668288e-05 0.000791808006262682 0.000287061712786355 280 319 0.918492290886093 0.475310126582278 1.10199939738292 0.928490111658378 1.42123433535016 2.07489068170298 169 13 3 2 4 1 5 0 0 9 697 139 17 13 2 2 6 0 14 1 0 0 0 0 8 0 4 2 1 7 4 683 114 31 15 11 1 10 4 0 0 2 0 0 0 0 0 2 2 0 0 2 0 2 0 0 1 0 0 0 0 0 0 2 0 0 0 6 0 2 8 14 674 92 16 25 5 3 22 3 3 2 3 1 0 3 0 5 0 4 0 0 0 0 0 3 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 3 0 3 0 2 1 0 1 0 2 1 5 2 1 18 11 656 226 59 5 8 0 0 1 0 0 15 5 161 92 26 10 0 4 1 4 0 1 0 0 0 0 0 0 13 2 0 5 0 133 40 61 26 17 7 2 2 5 0 2 0 0 0 1 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 2 0 5 0 0 111 71 20 32 5 12 3 4 14 0 0 4 9 0 2 8 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 2 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0
0.0161244444444444 0.00914526315789474 0.0141005128205128 0.0135206329113924 0.0155533735446767 0.0102600538702736 0.0155164763576728 0.0157480973787975 0.182148069353575 -0.445454309749818 -0.337857478708921 -0.484528342896806 -0.0367168510501847 0.108653495047302 0.0912554825284025 0.141443401944162 0.0113866666666667 0.0126778947368421 0.0130384615384615 0.0137315189873418 0.0111701500911769 0.0137552370568503 0.0177734183733343 0.0163941731686968 0.0956861043838311 -0.32300652468566 -0.988517152118618 -0.556770820298371 -0.0193834974214722 0.0783223375617235 0.266406649267689 0.162414667330656 0.7078992 0.9872696 -0.000213700987190123 -5.27394038508189e-06 -0.000234359238224411 1.79587883515312e-05 304 319 0.885202762498352 0.686575949367088 0.688496514345737 0.69711813752103 1.30544628584998 2.21068056682937 131 16 33 21 0 7 0 8 19 6 687 144 17 13 6 14 3 2 0 0 1 0 2 0 0 6 1 9 2 7 8 693 97 17 22 7 13 22 1 1 2 0 3 0 0 5 0 2 4 5 5 0 0 0 3 2 1 1 0 3 0 0 0 0 0 2 0 14 3 3 12 12 666 77 34 11 8 7 0 14 1 2 2 23 1 0 0 2 0 0 0 0 1 0 0 0 2 2 0 0 0 5 0 0 0 0 4 5 0 5 0 0 0 0 0 0 0 3 0 2 1 0 0 0 1 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 16 2 0 0 5 0 2 6 14 11 656 231 23 22 20 0 2 0 12 0 0 9 188 39 33 13 4 0 5 0 6 13 0 9 0 0 0 0 0 0 0 0 9 130 82 22 22 7 2 3 2 0 1 0 0 4 2 0 2 3 3 15 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 116 47 18 10 10 10 31 12 4 2 0 0 4 4 5 0 2 0 0 2 0 3 0 0 0 0 8 0 0 0 0 0 0 10 0 0 0 0 0 0 3 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0
0.00760888888888889 0.00813894736842105 0.00815025641025641 0.00849227848101266 0.009332024126806 0.00958356680190387 0.010532396073087 0.0112255668495018 -0.908396203704465 -0.616990117273505 -0.830533810688197 -0.827984322423591 0.184647533536422 0.150739225107277 0.226172624567127 0.243487781519953 0.00658666666666667 0.00666736842105263 0.0069051282051282 0.00650645569620253 0.00820086968719315 0.00800509697570794 0.00930988581460368 0.0115486047444515 -0.96559087816789 -0.680692587198553 -0.945380435013481 -1.48573007378037 0.196833150884875 0.167109600135357 0.258301514901861 0.436602443309997 0.7111164 0.9942216 -0.000103279032483702 8.22034770314403e-06 0.00016250412215987 5.01391022098581e-05 286 281 0.900812290670428 0.325322784810127 0.640700672857332 0.995207682603122 1.21639060298419 1.55993143914984 164 28 12 0 6 0 4 0 4 12 698 152 32 3 0 5 14 1 0 0 0 6 0 0 0 2 8 1 0 1 12 691 134 34 17 1 0 1 1 2 1 0 1 8 3 4 2 1 0 0 0 0 0 0 0 0 0 1 2 2 0 3 1 0 5 0 0 1 1 0 7 13 682 111 44 11 9 5 3 1 1 0 0 3 2 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 2 0 0 2 8 0 0 4 1 0 0 0 0 0 0 0 0 0 1 2 0 0 2 2 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 2 6 16 678 223 31 15 0 0 0 0 6 6 0 0 210 38 9 1 0 2 3 6 0 0 0 0 6 6 0 0 0 0 0 0 0 182 40 16 9 10 2 1 1 0 2 0 1 0 0 0 0 5 0 0 0 0 4 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 138 60 23 13 2 10 2 1 2 0 4 1 5 0 0 2 1 0 0 0 0 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0117955555555556 0.0119789473684211 0.0114692307692308 0.0115403797468354 0.0124426988357413 0.0144317241252199 0.0152343586057151 0.0158288568525349 -0.257203951263838 -0.70148914247655 -0.914723449256121 -0.928176904224148 0.0520098805515471 0.169957292387025 0.247147118820734 0.270927783708693 0.00957333333333333 0.0135852631578947 0.0129153846153846 0.0132254430379747 0.0141394304951606 0.0149954633488613 0.0172091828694189 0.0159096163262723 -1.60001626031784 -0.388395479810484 -0.925342980548455 -0.578053947540188 0.322933597883598 0.0940417883835308 0.249506225055257 0.168713891853263 0.705968 0.9825772 0.000187903655489421 1.12707340428418e-05 1.72251877271565e-05 4.64204617448325e-05 343 373 0.875881305733892 0.661272151898734 1.3522871031746 0.580628426589935 1.21853851297745 1.99828241387995 164 16 22 6 3 0 1 12 15 13 692 139 36 8 2 5 10 4 0 5 0 0 0 5 0 5 8 6 2 8 24 677 119 30 14 18 4 9 0 1 4 0 0 3 1 5 0 0 0 0 0 1 0 3 0 0 0 0 0 5 0 6 0 0 7 0 0 8 4 11 9 19 663 89 32 18 22 6 1 1 14 1 0 0 2 1 8 0 1 1 3 0 0 3 0 0 0 0 1 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 3 0 0 0 0 3 0 0 5 1 1 0 5 1 1 1 0 4 9 3 1 0 10 9 14 659 253 79 1 1 2 1 0 0 16 0 20 220 37 27 28 5 14 5 0 1 11 0 0 0 0 0 5 0 0 0 0 20 170 62 45 11 5 1 21 1 1 0 0 2 11 2 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 20 156 43 20 11 33 7 5 6 2 3 9 0 0 0 0 20 0 15 0 1 1 0 0 0 0 0 0 5 0 0 0 0 0 0 8 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20
