tpS_10 tpS_20 tpS_40 tpS_80 twS_10 twS_20 twS_40 twS_80 taS_10 taS_20 taS_40 taS_80 deS_10 deS_20 deS_40 deS_80 tpN_10 tpN_20 tpN_40 tpN_80 twN_10 twN_20 twN_40 twN_80 taN_10 taN_20 taN_40 taN_80 deN_10 deN_20 deN_40 deN_80 pBar2 pBar4 LD2 minus2LDsumS LD4 n2 n4 B Bprime cSq10 cSq20 cSq40 cSq80 S10_0 S10_1 S10_2 S10_3 S10_4 S10_5 S10_6 S10_7 S10_8 S10_9 S10_10 S20_0 S20_1 S20_2 S20_3 S20_4 S20_5 S20_6 S20_7 S20_8 S20_9 S20_10 S20_11 S20_12 S20_13 S20_14 S20_15 S20_16 S20_17 S20_18 S20_19 S20_20 S40_0 S40_1 S40_2 S40_3 S40_4 S40_5 S40_6 S40_7 S40_8 S40_9 S40_10 S40_11 S40_12 S40_13 S40_14 S40_15 S40_16 S40_17 S40_18 S40_19 S40_20 S40_21 S40_22 S40_23 S40_24 S40_25 S40_26 S40_27 S40_28 S40_29 S40_30 S40_31 S40_32 S40_33 S40_34 S40_35 S40_36 S40_37 S40_38 S40_39 S40_40 S80_0 S80_1 S80_2 S80_3 S80_4 S80_5 S80_6 S80_7 S80_8 S80_9 S80_10 S80_11 S80_12 S80_13 S80_14 S80_15 S80_16 S80_17 S80_18 S80_19 S80_20 S80_21 S80_22 S80_23 S80_24 S80_25 S80_26 S80_27 S80_28 S80_29 S80_30 S80_31 S80_32 S80_33 S80_34 S80_35 S80_36 S80_37 S80_38 S80_39 S80_40 S80_41 S80_42 S80_43 S80_44 S80_45 S80_46 S80_47 S80_48 S80_49 S80_50 S80_51 S80_52 S80_53 S80_54 S80_55 S80_56 S80_57 S80_58 S80_59 S80_60 S80_61 S80_62 S80_63 S80_64 S80_65 S80_66 S80_67 S80_68 S80_69 S80_70 S80_71 S80_72 S80_73 S80_74 S80_75 S80_76 S80_77 S80_78 S80_79 S80_80 N10_0 N10_1 N10_2 N10_3 N10_4 N10_5 N10_6 N10_7 N10_8 N10_9 N10_10 N20_0 N20_1 N20_2 N20_3 N20_4 N20_5 N20_6 N20_7 N20_8 N20_9 N20_10 N20_11 N20_12 N20_13 N20_14 N20_15 N20_16 N20_17 N20_18 N20_19 N20_20 N40_0 N40_1 N40_2 N40_3 N40_4 N40_5 N40_6 N40_7 N40_8 N40_9 N40_10 N40_11 N40_12 N40_13 N40_14 N40_15 N40_16 N40_17 N40_18 N40_19 N40_20 N40_21 N40_22 N40_23 N40_24 N40_25 N40_26 N40_27 N40_28 N40_29 N40_30 N40_31 N40_32 N40_33 N40_34 N40_35 N40_36 N40_37 N40_38 N40_39 N40_40 N80_0 N80_1 N80_2 N80_3 N80_4 N80_5 N80_6 N80_7 N80_8 N80_9 N80_10 N80_11 N80_12 N80_13 N80_14 N80_15 N80_16 N80_17 N80_18 N80_19 N80_20 N80_21 N80_22 N80_23 N80_24 N80_25 N80_26 N80_27 N80_28 N80_29 N80_30 N80_31 N80_32 N80_33 N80_34 N80_35 N80_36 N80_37 N80_38 N80_39 N80_40 N80_41 N80_42 N80_43 N80_44 N80_45 N80_46 N80_47 N80_48 N80_49 N80_50 N80_51 N80_52 N80_53 N80_54 N80_55 N80_56 N80_57 N80_58 N80_59 N80_60 N80_61 N80_62 N80_63 N80_64 N80_65 N80_66 N80_67 N80_68 N80_69 N80_70 N80_71 N80_72 N80_73 N80_74 N80_75 N80_76 N80_77 N80_78 N80_79 N80_80
0.00561777777777778 0.00608210526315789 0.00707538461538462 0.00669898734177215 0.00636274372282227 0.00913257542299075 0.0144820446004946 0.0169594894848588 -0.570515011262955 -1.36551672967689 -1.89115184254576 -2.07521506348354 0.117082500489908 0.334020801202853 0.511437451646644 0.605000648884336 0.00653333333333333 0.0099621052631579 0.00756871794871795 0.00834924050632911 0.00834226399214476 0.0186033943801663 0.0170211043681138 0.0182516410646576 -1.06415632822474 -1.92440211534994 -2.0592037699483 -1.86325582511556 0.216839296924043 0.464500668019014 0.555333321209364 0.54254850417278 0.7138856 0.9803924 0.000886651322059501 -2.29641200000007 0.00208256604422219 307 334 0.914330994571518 0.417462025316456 0.754594214397432 3.22809773794982 6.37816581525709 9.67233406187541 190 15 4 3 4 0 5 0 4 10 694 162 37 3 6 1 0 6 1 0 0 0 0 0 2 4 0 0 4 4 13 686 113 58 13 4 16 1 1 3 0 2 1 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 3 0 0 0 0 5 5 2 33 662 73 77 24 7 6 4 5 4 1 2 1 4 0 3 0 0 0 1 0 0 0 0 0 0 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 7 1 5 2 3 6 36 646 237 41 3 12 0 2 0 0 1 0 40 169 90 15 6 6 4 1 5 0 0 0 0 3 0 0 0 0 0 0 35 2 153 76 21 21 4 4 8 2 0 0 0 1 0 3 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 35 2 108 78 34 19 5 9 4 2 2 0 0 6 3 1 9 2 1 0 2 5 2 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 35 2
0.0125422222222222 0.0114631578947368 0.0101533333333333 0.0107270886075949 0.0138566418852574 0.0147699676594048 0.0106264353237396 0.013567591587887 -0.469855584702709 -0.924435365543064 -0.163524066970093 -0.715072687787508 0.0948584566101572 0.223887407266077 0.0445212318141446 0.209359410761455 0.0181511111111111 0.016181052631579 0.0172389743589744 0.0167679746835443 0.0183812596437088 0.0170249245539704 0.016550908114851 0.0184939194858698 -0.0622354508894262 -0.205105456176648 0.154083882675425 -0.32056975043651 0.0125208248541578 0.0495668523943416 -0.0415727185087791 0.0933249873637779 0.7135896 0.986952 -0.00149062304429035 5.22763 -0.00189238360328275 270 353 0.91288225989221 0.838398734177215 0.660219357565511 0.963930088700827 1.68070981424703 2.13257687200446 119 34 14 5 1 14 2 5 6 17 677 98 43 17 6 3 0 3 0 4 6 0 7 4 1 1 1 1 2 11 21 665 112 23 6 9 1 5 0 1 1 0 5 3 9 0 0 2 0 3 0 0 1 0 0 4 0 1 0 0 8 1 2 0 0 0 0 6 2 4 5 11 669 73 36 15 7 3 13 0 3 0 0 5 4 1 1 1 1 0 3 0 0 1 0 1 0 0 0 0 2 0 0 0 4 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 4 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 2 7 0 0 2 1 6 5 4 4 15 653 223 65 6 13 33 0 11 0 2 0 0 202 65 23 2 4 5 2 2 22 0 13 0 11 0 0 0 0 0 2 0 0 177 44 18 12 23 2 6 6 0 0 16 4 0 0 13 0 19 0 0 0 0 0 0 0 11 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 124 62 19 13 20 15 7 13 2 0 4 0 0 10 8 0 0 0 3 4 0 1 0 0 0 1 2 0 0 19 0 0 11 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00985777777777778 0.00710736842105263 0.00692615384615384 0.00781848101265823 0.0138566418852574 0.00913257542299075 0.00930988581460368 0.0138098700090993 -1.4294434922161 -0.906566495427318 -0.937114641579276 -1.48237213907199 0.288588255407983 0.221756394898176 0.256043093966917 0.433848326775948 0.00883555555555555 0.00857894736842105 0.00851435897435898 0.00859025316455696 0.0101803899565156 0.0102600538702736 0.0115668278302652 0.0112255668495018 -0.651008879213163 -0.671745941263429 -0.971267418246638 -0.798305235904836 0.132100480109739 0.163849675947918 0.263898529544917 0.234759965378655 0.7078348 0.9848492 -0.00184426384490669 5.065602 -0.00163505090438613 306 333 0.884891337419122 0.429512658227848 0.398112782921811 0.709821153442873 0.619152248082133 1.18027476670108 159 47 2 1 5 6 2 0 0 35 687 165 17 21 3 2 0 2 1 4 0 4 0 2 1 0 0 0 2 10 12 698 146 33 6 8 5 0 0 9 0 2 0 0 1 1 3 0 1 0 0 3 0 1 0 0 1 0 1 1 0 0 0 0 0 5 1 1 2 2 4 8 699 106 56 8 6 8 0 1 5 1 0 0 1 0 3 7 6 0 2 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 3 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 4 0 0 0 1 0 1 3 1 0 3 4 1 35 667 237 40 13 10 9 0 0 0 0 0 24 218 36 12 23 0 2 9 0 4 0 1 4 0 0 0 0 0 0 0 0 24 186 46 12 16 12 5 1 11 0 2 4 4 0 5 0 0 1 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24 170 42 18 9 9 6 14 2 0 0 3 1 0 0 0 3 0 4 0 9 2 0 2 0 1 0 0 5 5 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24
0.00710222222222222 0.00656842105263158 0.00754871794871795 0.00816075949367089 0.010038995651564 0.00901982757826247 0.0133535735926639 0.0136483510616245 -1.44127287724591 -1.11070945538498 -1.6048865223074 -1.37345297306692 0.292536577489629 0.271779754586297 0.434704283738322 0.402069930878553 0.00835555555555555 0.00845684210526316 0.00843230769230769 0.00902620253164557 0.0118771216159349 0.0135297413673937 0.0134476128433164 0.0146174647464735 -1.46518383318018 -1.54584569051419 -1.37709475342387 -1.30845233311238 0.296499958007895 0.374944289353238 0.372951334147115 0.382505606259585 0.7060468 0.993088 -0.00109500416476973 3.09940399999995 0.0023338157669142 283 293 0.876260953253921 0.451310126582278 0.659051960731383 0.786434739857558 1.45968734096644 1.31116859183908 142 40 4 4 1 0 0 4 3 15 710 139 17 16 12 1 0 3 1 0 2 0 0 0 0 3 0 1 3 8 13 704 97 35 19 20 3 5 7 2 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 1 4 3 1 13 8 15 684 71 38 9 13 17 10 1 10 2 8 0 0 1 0 0 0 6 0 2 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 4 0 0 0 1 1 0 6 0 4 2 4 4 3 3 13 683 209 53 19 3 1 0 0 0 0 8 0 173 63 23 19 5 0 0 1 0 0 1 0 0 0 0 0 8 0 0 0 0 150 26 45 19 29 2 3 6 0 0 1 0 0 3 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 112 54 26 15 17 8 0 12 3 0 0 14 9 3 2 3 1 0 2 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00954666666666667 0.0106778947368421 0.0104876923076923 0.010669746835443 0.0091906298218544 0.0127405064542957 0.0136356913446216 0.0152635405363729 0.190521134498239 -0.666735756454671 -0.852685936712143 -1.0303849310247 -0.0387391127391128 0.161894012993351 0.230864644657049 0.300965145667409 0.00966222222222222 0.0129263157894737 0.0137230769230769 0.0129106329113924 0.0121599102258381 0.016461185330329 0.0168330258668087 0.0159903758000097 -1.01540935551402 -0.888151749237006 -0.684950578976245 -0.659953342120945 0.20540349042287 0.21473967213907 0.184752816774549 0.192599781714664 0.7121272 0.990326 0.00147164256538872 -5.63455200000004 0.00099396057645611 305 340 0.905737831235228 0.64553164556962 0.665021472353138 0.676671481800781 0.961825755419674 1.55734635660686 175 16 3 4 8 11 7 1 1 14 689 138 35 10 17 0 1 0 0 6 2 0 3 10 0 0 1 0 13 3 12 678 114 37 8 27 5 1 0 2 4 2 1 4 1 0 0 0 0 1 2 0 0 0 3 5 0 0 0 0 0 2 4 2 5 1 1 2 1 9 1 14 670 84 30 29 11 23 4 4 2 3 0 0 1 1 0 2 0 2 1 0 4 0 0 0 3 0 0 0 2 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 3 0 1 0 0 4 0 1 0 0 0 4 0 0 0 2 0 4 2 0 1 0 1 2 0 1 1 2 2 0 7 4 8 14 656 254 52 11 4 0 0 0 11 8 0 0 194 62 30 4 26 3 0 0 4 7 2 0 0 0 0 0 8 0 0 0 0 161 71 25 12 3 10 1 8 3 0 3 19 3 0 0 4 7 0 2 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 142 49 13 20 30 13 5 0 7 0 5 5 1 0 1 3 15 0 3 0 0 0 0 7 0 0 0 0 0 0 0 2 0 7 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.01064 0.00666736842105263 0.00801846153846154 0.00820012658227848 0.0148464020199186 0.00947081895717559 0.0141058875978844 0.0150212621151607 -1.4047129635249 -1.21123883925893 -1.59496534086829 -1.55417866404523 0.283328042328042 0.296009304876313 0.431552145668298 0.454098695608123 0.0108622222222222 0.0120694736842105 0.00961435897435898 0.00947607594936709 0.0144222191050638 0.0175886637776118 0.0157045548589779 0.016232654221222 -1.22333885103692 -1.29905046215531 -1.43605472204055 -1.42663251916067 0.246841131514334 0.313792461052472 0.387798058544609 0.416233733545657 0.7034888 0.9864432 -0.000199729186752818 0.573481999999851 -0.00189601148925329 293 305 0.863966964274989 0.473803797468354 0.765793910156655 0.910175572302501 2.10920894946957 3.45033788284946 124 50 4 7 5 0 1 3 2 33 698 137 25 15 1 1 6 0 0 3 0 0 0 0 2 0 3 1 4 11 12 706 98 32 33 6 1 6 4 0 0 0 0 1 0 0 3 1 3 0 0 0 0 2 0 0 0 0 1 0 0 0 0 1 0 0 2 6 1 8 22 17 679 73 25 51 5 4 1 6 0 0 2 4 1 2 0 1 1 0 0 3 3 0 2 0 0 1 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 1 1 0 2 0 1 0 2 3 0 1 4 0 4 4 26 16 668 203 59 5 3 4 4 4 0 7 16 0 149 68 25 10 14 7 9 0 0 0 1 0 0 0 0 6 0 0 0 16 0 138 78 15 6 9 6 1 11 3 0 0 4 0 0 0 5 1 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 16 0 104 78 26 12 7 5 2 6 2 1 2 4 3 0 2 1 12 0 0 0 0 0 0 0 8 1 0 0 6 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0
0.00857777777777778 0.00739578947368421 0.00973128205128205 0.00659291139240506 0.00961481273670922 0.00958356680190387 0.0146701231017997 0.0104179721121275 -0.530944380932468 -0.934389333979993 -1.24517112131272 -1.24608181117123 0.107858050627658 0.228284246715433 0.336659823250685 0.367159815610347 0.0103555555555556 0.00433473684210526 0.00986461538461538 0.011603417721519 0.0118771216159349 0.00721586206260997 0.0134476128433164 0.0145367052727361 -0.633063232255066 -1.62120759780812 -0.98381391627105 -0.690178030212231 0.128108990509784 0.399276648514898 0.26644115208015 0.201784895282879 0.7147348 0.9884936 -0.00015450648661232 0.437559999999909 0.00621389799306823 280 319 0.918492290886093 0.580170886075949 1.11090105685131 1.20434507505632 2.08682961014308 4.34325570175872 145 30 5 10 4 0 3 6 3 7 690 136 24 7 19 2 0 0 4 0 0 4 0 0 1 0 0 2 8 3 11 682 90 30 34 11 2 5 5 1 0 5 2 6 1 0 0 0 0 1 0 1 0 0 0 2 0 0 0 0 0 3 1 3 1 0 1 2 2 6 19 12 657 105 26 17 10 2 2 6 2 0 3 9 0 2 0 0 3 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 6 2 1 0 1 1 4 3 8 9 669 230 29 36 3 0 1 0 0 15 0 5 235 48 2 2 1 4 4 2 0 0 0 0 0 1 0 0 0 0 0 0 20 171 40 21 23 4 2 13 17 0 4 0 0 0 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 0 0 0 0 0 5 139 19 10 15 3 53 9 2 11 4 2 2 0 19 5 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 2 0 0 0 0 0 0 0 5 0 0 0 0 0
0.0105155555555556 0.01304 0.013425641025641 0.0116750632911392 0.0108873614812737 0.0148827155041331 0.0154224371070202 0.0149405026414232 -0.16850546863019 -0.511300941629096 -0.479301810001704 -0.747966181148119 0.0341502324835656 0.123815811947848 0.129473446221433 0.218562884305539 0.0129244444444444 0.0155978947368421 0.0158276923076923 0.0144489873417722 0.0117357273109833 0.0195053771379926 0.0179614968746394 0.0172017679060711 0.500437812584803 -0.830450576241387 -0.440880476573566 -0.5490481741556 -0.101290452816557 0.200328472169835 0.118798816259013 0.160028933033527 0.7078992 0.9872696 -0.00175995496426 8.58234799999996 -0.00183918877877138 304 319 0.885202762498352 0.722449367088608 0.990831484284816 0.745479850694668 1.31233424380325 2.17414694031918 155 19 11 12 3 0 6 10 2 14 696 118 29 27 7 1 3 5 5 0 5 1 10 0 2 4 1 1 2 15 14 678 97 31 14 8 3 25 1 1 0 2 0 0 8 5 0 0 0 0 3 3 0 6 4 0 0 0 0 2 3 0 0 0 0 1 1 15 0 2 11 15 667 93 26 6 29 5 3 1 1 9 4 0 1 0 1 0 1 0 0 0 0 2 0 0 0 0 2 1 0 0 0 7 0 0 0 0 0 0 4 6 4 0 3 2 1 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 3 0 2 1 22 7 22 650 227 24 20 14 1 24 0 0 0 0 9 146 56 62 6 10 0 6 2 10 3 9 0 0 0 0 0 0 0 9 0 0 128 48 25 12 4 26 31 0 2 8 2 0 0 2 10 0 0 0 3 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 106 35 44 2 2 14 16 25 16 3 0 7 4 0 0 0 0 1 0 0 2 0 0 1 2 0 2 0 0 6 0 0 0 0 3 0 9 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0
0.00884444444444445 0.00926105263157895 0.0073 0.00870924050632911 0.00848365829709637 0.0105982974044584 0.0106264353237396 0.0113870857969766 0.208785838986121 -0.517672298056428 -1.14975680441296 -0.799971236022398 -0.0425271898883013 0.126175433831184 0.313033978224877 0.235165110581542 0.0072 0.00674526315789474 0.00639333333333333 0.00677392405063291 0.00721110955253191 0.00901982757826247 0.00912180731329856 0.0106602505333398 -0.00753350776984137 -1.03058394524527 -1.09411808645087 -1.23803396323331 0.00154061624649859 0.252173824902082 0.299115502690724 0.364562396592131 0.7111164 0.9942216 -0.00090419030615937 2.64974599999996 0.00144805593765952 286 281 0.900812290670428 0.338696202531646 0.520529649768404 0.924648764000447 1.47780522865451 1.93358276852145 173 18 1 1 5 16 7 0 0 12 695 145 34 7 4 1 1 2 12 0 4 2 0 0 6 5 0 0 1 0 15 689 129 46 8 2 3 0 0 3 9 4 0 0 0 2 0 3 1 0 0 0 0 0 0 0 1 0 1 2 0 0 0 2 2 6 0 0 2 0 1 15 686 108 45 14 5 3 2 4 6 0 0 1 0 0 0 2 0 0 1 0 0 0 1 0 1 0 0 1 1 8 3 0 0 0 0 0 4 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 3 2 1 5 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 1 1 0 3 2 16 679 230 25 5 1 8 4 8 0 0 0 0 201 46 7 5 2 3 5 0 0 0 0 0 0 6 6 0 0 0 0 0 0 184 36 12 18 7 1 2 0 1 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 6 0 0 0 0 0 0 0 0 0 0 149 39 41 6 13 2 0 4 4 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 3 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 6 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00643555555555556 0.0120105263157895 0.011545641025641 0.0107311392405063 0.00975620704166082 0.0137552370568503 0.0153283978563677 0.0155058189575852 -1.67596692294401 -0.523095531091289 -0.913467824059058 -1.0545359047708 0.34036295785088 0.126839743571842 0.246780966032613 0.30792825133194 0.0117511111111111 0.0126 0.0123764102564103 0.0123093670886076 0.0151291906298219 0.0152209590383179 0.0160807118615882 0.0163941731686968 -1.10728531271172 -0.711336025156244 -0.853378585579634 -0.854148033153007 0.223282236397501 0.172194079999808 0.230356817351248 0.249162067403851 0.705968 0.9825772 0.00137128665100319 -6.54841200000013 0.000115582267513046 343 373 0.875881305733892 0.61546835443038 0.745959444714795 0.591372932628236 0.98152468371093 1.57666941158567 171 33 4 1 1 0 1 1 3 25 704 140 28 14 2 12 3 4 1 5 0 0 0 5 3 7 1 10 2 2 23 682 115 27 32 7 1 3 2 1 11 1 3 0 0 1 0 0 0 5 0 0 0 0 0 5 0 0 0 3 0 0 3 0 10 2 2 6 0 2 17 19 666 96 31 19 7 21 4 3 0 1 10 0 2 1 4 3 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 5 0 5 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 0 0 0 1 0 0 0 1 0 5 3 4 1 0 6 1 0 3 3 15 9 5 13 656 246 77 4 10 0 11 0 0 5 0 20 218 57 10 26 15 6 0 0 11 5 0 0 0 0 0 0 0 5 0 0 20 182 54 39 10 2 20 0 4 6 0 15 0 0 0 0 11 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 0 0 0 0 0 20 150 40 37 17 7 5 23 19 2 6 5 3 1 1 0 0 0 0 0 15 0 0 0 1 0 0 0 0 0 5 0 0 0 0 0 0 0 0 8 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 20
