tpS_10 tpS_20 tpS_40 tpS_80 twS_10 twS_20 twS_40 twS_80 taS_10 taS_20 taS_40 taS_80 deS_10 deS_20 deS_40 deS_80 tpN_10 tpN_20 tpN_40 tpN_80 twN_10 twN_20 twN_40 twN_80 taN_10 taN_20 taN_40 taN_80 deN_10 deN_20 deN_40 deN_80 pBar2 pBar4 LD2 minus2LdS LD4 minus2LdN n2 n4 B Bprime cSq10 cSq20 cSq40 cSq80 S10_0 S10_1 S10_2 S10_3 S10_4 S10_5 S10_6 S10_7 S10_8 S10_9 S10_10 S20_0 S20_1 S20_2 S20_3 S20_4 S20_5 S20_6 S20_7 S20_8 S20_9 S20_10 S20_11 S20_12 S20_13 S20_14 S20_15 S20_16 S20_17 S20_18 S20_19 S20_20 S40_0 S40_1 S40_2 S40_3 S40_4 S40_5 S40_6 S40_7 S40_8 S40_9 S40_10 S40_11 S40_12 S40_13 S40_14 S40_15 S40_16 S40_17 S40_18 S40_19 S40_20 S40_21 S40_22 S40_23 S40_24 S40_25 S40_26 S40_27 S40_28 S40_29 S40_30 S40_31 S40_32 S40_33 S40_34 S40_35 S40_36 S40_37 S40_38 S40_39 S40_40 S80_0 S80_1 S80_2 S80_3 S80_4 S80_5 S80_6 S80_7 S80_8 S80_9 S80_10 S80_11 S80_12 S80_13 S80_14 S80_15 S80_16 S80_17 S80_18 S80_19 S80_20 S80_21 S80_22 S80_23 S80_24 S80_25 S80_26 S80_27 S80_28 S80_29 S80_30 S80_31 S80_32 S80_33 S80_34 S80_35 S80_36 S80_37 S80_38 S80_39 S80_40 S80_41 S80_42 S80_43 S80_44 S80_45 S80_46 S80_47 S80_48 S80_49 S80_50 S80_51 S80_52 S80_53 S80_54 S80_55 S80_56 S80_57 S80_58 S80_59 S80_60 S80_61 S80_62 S80_63 S80_64 S80_65 S80_66 S80_67 S80_68 S80_69 S80_70 S80_71 S80_72 S80_73 S80_74 S80_75 S80_76 S80_77 S80_78 S80_79 S80_80 N10_0 N10_1 N10_2 N10_3 N10_4 N10_5 N10_6 N10_7 N10_8 N10_9 N10_10 N20_0 N20_1 N20_2 N20_3 N20_4 N20_5 N20_6 N20_7 N20_8 N20_9 N20_10 N20_11 N20_12 N20_13 N20_14 N20_15 N20_16 N20_17 N20_18 N20_19 N20_20 N40_0 N40_1 N40_2 N40_3 N40_4 N40_5 N40_6 N40_7 N40_8 N40_9 N40_10 N40_11 N40_12 N40_13 N40_14 N40_15 N40_16 N40_17 N40_18 N40_19 N40_20 N40_21 N40_22 N40_23 N40_24 N40_25 N40_26 N40_27 N40_28 N40_29 N40_30 N40_31 N40_32 N40_33 N40_34 N40_35 N40_36 N40_37 N40_38 N40_39 N40_40 N80_0 N80_1 N80_2 N80_3 N80_4 N80_5 N80_6 N80_7 N80_8 N80_9 N80_10 N80_11 N80_12 N80_13 N80_14 N80_15 N80_16 N80_17 N80_18 N80_19 N80_20 N80_21 N80_22 N80_23 N80_24 N80_25 N80_26 N80_27 N80_28 N80_29 N80_30 N80_31 N80_32 N80_33 N80_34 N80_35 N80_36 N80_37 N80_38 N80_39 N80_40 N80_41 N80_42 N80_43 N80_44 N80_45 N80_46 N80_47 N80_48 N80_49 N80_50 N80_51 N80_52 N80_53 N80_54 N80_55 N80_56 N80_57 N80_58 N80_59 N80_60 N80_61 N80_62 N80_63 N80_64 N80_65 N80_66 N80_67 N80_68 N80_69 N80_70 N80_71 N80_72 N80_73 N80_74 N80_75 N80_76 N80_77 N80_78 N80_79 N80_80
0.00500444444444444 0.00606526315789474 0.00815179487179487 0.00662481012658228 0.00607995511291906 0.00732860990733825 0.0144820446004946 0.0163134136949594 -0.860772576445174 -0.700295290497244 -1.61631065315164 -2.0357739565016 0.176894508018539 0.172385590912474 0.437110221887008 0.593904117773386 0.00569777777777778 0.00658947368421053 0.00693538461538461 0.00660544303797468 0.00593856080796746 0.0111620366280998 0.0129774165900536 0.0110640479020269 -0.197150304086486 -1.68262960754709 -1.71787474884935 -1.36983697663773 0.0405456874107668 0.409653103303577 0.465580489979789 0.402981341325848 0.7138856 0.9803924 0.000886651322059501 -0.0150092287581704 4.81767499697259 -0.0421272312312315 307 334 0.914330994571518 0.330272151898734 0.650231481481482 0.812782389855684 0.773426366790318 0.822698485783829 186 18 8 0 4 0 4 0 0 9 700 170 18 7 3 8 4 6 0 0 0 0 0 0 0 1 0 8 1 0 9 694 115 26 43 13 1 4 5 5 2 1 0 0 0 0 0 0 0 0 0 1 0 3 0 0 0 0 0 0 0 0 0 1 0 1 2 1 6 4 27 8 660 82 73 19 11 3 4 4 0 6 1 1 2 0 0 0 1 4 0 0 1 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 1 1 0 0 0 0 0 0 0 0 0 0 5 1 2 5 3 6 2 38 645 257 17 14 0 9 0 2 0 0 0 37 200 61 16 12 0 1 0 5 0 0 1 0 0 0 0 0 0 3 0 0 37 161 71 16 18 9 4 2 1 8 0 0 2 0 3 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 37 162 46 20 14 1 6 4 11 6 2 5 0 0 3 1 5 4 0 0 0 0 0 0 2 0 0 3 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 37
0.0105155555555556 0.0103094736842105 0.0100830769230769 0.0104817721518987 0.00989760134661243 0.0126277586095675 0.0117549063315703 0.0125177184293005 0.307519481687926 -0.75594581312623 -0.523643186341885 -0.554533615294992 -0.0624347442680777 0.183586414425159 0.142223966855723 0.162645156855119 0.0169866666666667 0.016181052631579 0.0167169230769231 0.0153286075949367 0.0175328938139992 0.0177014116223401 0.0169270651174612 0.0171210084323336 -0.154774416724142 -0.355598402087594 -0.0460297241239854 -0.359156038076292 0.0311544205495817 0.0858891382900991 0.012414558523875 0.104690143952731 0.7135896 0.986952 -0.00149062304429035 0.0388671375464684 1.57094344255527 0.0785891477272725 270 353 0.91288225989221 0.766430379746835 0.317155549568076 0.890669322740858 2.57192589516608 2.65919197174499 135 14 17 3 11 0 11 1 8 5 689 113 35 7 7 3 6 1 0 0 7 2 6 0 1 1 6 0 3 7 20 669 105 31 2 5 6 0 5 8 1 1 7 1 0 3 0 2 0 3 0 0 0 0 1 4 0 1 1 0 0 1 8 0 0 3 2 0 1 2 5 21 664 85 27 3 13 7 4 8 1 7 4 1 0 1 0 4 1 0 1 0 0 0 0 0 0 1 0 2 0 0 0 0 0 2 8 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 6 4 3 4 0 2 4 7 14 654 229 55 18 21 1 16 0 11 2 0 0 196 78 14 3 5 5 2 2 19 3 0 13 11 0 0 0 0 0 0 2 0 173 56 15 17 3 23 4 1 4 5 2 0 0 1 1 3 32 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 141 49 32 16 4 14 16 0 3 0 4 0 13 0 5 0 0 4 0 0 3 0 19 0 0 1 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0076 0.00797684210526316 0.00726974358974359 0.00763658227848101 0.00904923551690279 0.00868158404407762 0.00874565031068831 0.00993341526970301 -0.787368482394337 -0.331415507733783 -0.616526118533562 -0.783691992389815 0.160150049603174 0.0811766533891038 0.168758945134243 0.231222890502459 0.00952888888888889 0.00780210526315789 0.00858153846153846 0.00908911392405063 0.0110287557862253 0.0110492887833715 0.0108145138250447 0.0134060726404122 -0.671190762899314 -1.20684164050693 -0.7587189804355 -1.09957058182224 0.135996020440465 0.29388167726238 0.20647949594692 0.32201516671991 0.7078348 0.9848492 -0.00184426384490669 0.0332170622950819 3.46534930533078 0.0357429036144579 306 333 0.884891337419122 0.454455696202532 0.474002196758607 0.623892496126991 1.03462482149803 0.909222887972103 173 25 12 4 1 4 0 1 8 9 707 162 22 7 6 8 0 10 0 0 0 4 0 0 0 6 0 5 1 2 6 705 155 18 11 6 4 4 0 1 10 0 0 0 0 1 2 0 6 0 0 0 0 0 0 0 2 0 0 1 0 0 0 1 5 0 0 1 5 3 4 8 696 132 32 6 5 3 8 5 6 1 0 1 0 0 0 0 0 0 0 0 0 0 1 1 7 2 3 1 0 1 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 4 1 0 0 0 0 1 0 2 0 0 0 0 0 0 1 1 0 4 2 3 6 9 689 231 39 25 5 9 0 0 0 0 0 24 211 43 23 19 3 0 1 0 4 0 0 0 1 0 4 0 0 0 0 0 24 194 31 20 14 7 20 2 0 2 0 4 0 0 1 1 0 0 8 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24 143 39 34 19 4 9 6 3 11 4 4 1 2 11 0 0 0 0 0 0 4 1 0 0 0 4 0 5 0 0 1 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24
0.00871111111111111 0.00793263157894737 0.00759589743589744 0.00808898734177215 0.0104631785664189 0.0117257758517412 0.0141999268485369 0.0142944268515238 -0.825645063969685 -1.33007413506728 -1.71907921461719 -1.48433606862123 0.167450784117451 0.323487701006205 0.465074889686487 0.434116007182909 0.00726222222222222 0.00963789473684211 0.00833128205128205 0.00863696202531645 0.00975620704166082 0.0130787499884806 0.0137297305952741 0.0138906294828367 -1.2587397627223 -1.08401233288633 -1.45243738769714 -1.29244661680839 0.255630575364875 0.263087470489847 0.393194062077974 0.378216657784423 0.7060468 0.993088 -0.00109500416476973 0.0219815886524819 1.59614825416235 -0.0505320684931506 283 293 0.876260953253921 0.431848101265823 0.547881180757677 0.964228630032731 0.997864182108791 1.67940374459992 147 26 11 6 2 1 1 4 8 15 702 121 34 17 14 0 3 0 0 1 0 1 2 1 0 0 3 0 8 4 16 698 87 59 6 4 19 6 6 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 5 4 5 6 5 19 685 67 38 25 8 14 5 5 0 10 5 2 1 0 0 0 0 2 6 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 4 1 0 0 1 0 0 3 3 2 1 4 2 3 4 7 15 679 224 40 13 4 3 0 0 1 0 8 0 177 66 11 6 0 18 6 0 0 0 0 0 1 0 8 0 0 0 0 0 0 147 47 28 23 3 19 7 3 3 1 0 0 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 121 56 13 25 4 8 6 7 0 0 19 2 6 5 7 1 0 0 0 0 0 1 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0104622222222222 0.00982526315789474 0.0105707692307692 0.0105564556962025 0.0115943330060317 0.0121767672306543 0.01504628010441 0.0146174647464735 -0.482321726263223 -0.794619661083696 -1.10065528670637 -0.950346551897686 0.0976434593711016 0.193113987334817 0.297449658160292 0.277818973447548 0.0109955555555556 0.0136989473684211 0.0112769230769231 0.0122717721518987 0.0127254874456445 0.0160101939514159 0.0170211043681138 0.0169594894848588 -0.672508631073589 -0.596822594370472 -1.25137073806198 -0.94810385369552 0.135942288849696 0.144360935914235 0.337474065546034 0.276406747806011 0.7121272 0.990326 0.00147164256538872 -0.0370694210526318 1.54287307923713 -0.0311612625368732 305 340 0.905737831235228 0.613588607594937 0.275829757005683 0.473884899221019 1.00362248334502 1.47098632916282 161 32 6 1 7 5 11 0 5 15 686 141 42 7 5 3 1 1 0 6 1 6 4 6 0 0 2 1 3 1 19 680 106 46 16 17 8 2 3 0 0 0 2 0 0 1 3 0 1 2 0 2 0 2 0 2 5 1 4 0 0 1 1 0 0 0 1 3 3 13 6 15 663 93 38 10 25 6 2 11 1 1 0 2 3 0 0 2 1 0 1 0 4 0 0 0 0 1 1 0 2 0 0 0 3 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 4 0 0 0 4 0 1 4 0 0 0 0 5 0 0 2 0 2 0 0 1 1 0 0 2 3 0 2 13 3 17 655 250 40 19 10 2 0 4 7 0 8 0 198 53 30 7 18 13 0 8 5 0 0 0 0 8 0 0 0 0 0 0 0 159 79 34 2 5 7 21 10 0 2 0 0 2 0 0 0 0 0 0 0 0 0 4 2 5 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 130 44 48 35 9 9 0 2 1 3 0 0 3 5 5 0 10 0 0 12 3 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 2 2 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00741333333333333 0.00693473684210526 0.00873948717948718 0.00725164556962025 0.00862505260204797 0.00935807111244731 0.0144820446004946 0.0150212621151607 -0.6899794803414 -1.0593047248674 -1.46625443445434 -1.7702876895908 0.140488333767022 0.258956599199031 0.396529466620432 0.517241260153412 0.00812444444444444 0.0109221052631579 0.0100774358974359 0.00967974683544304 0.00904923551690279 0.015671950417231 0.0157045548589779 0.0169594894848588 -0.502438240548725 -1.25259539078306 -1.32686220760401 -1.47234817494093 0.102195491622575 0.30307938882009 0.358311267786437 0.429243029745383 0.7034888 0.9864432 -0.000199729186752818 0.00392795890410857 2.74006250532402 0.0469037631578947 293 305 0.863966964274989 0.483987341772152 0.685225229414683 1.24715273143856 1.94037277233513 3.14320647619728 153 16 11 8 0 2 0 2 8 14 713 137 22 14 2 5 1 4 3 0 0 2 0 0 0 0 1 5 3 7 14 707 98 20 38 12 5 0 3 0 3 2 0 0 3 0 1 0 0 3 0 0 2 0 0 0 0 0 0 0 0 0 0 2 2 1 3 3 0 8 28 15 675 69 65 7 13 11 0 4 2 0 1 0 1 2 0 0 3 2 0 0 0 0 3 0 0 0 1 0 0 0 0 0 4 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 2 2 0 0 4 2 0 1 0 0 1 4 4 2 9 32 672 225 25 21 0 1 11 0 0 0 6 16 166 68 8 11 14 4 0 11 1 0 0 0 0 0 0 6 0 0 0 16 0 138 66 28 5 5 1 8 4 7 5 0 4 5 6 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 16 0 95 79 45 3 6 2 1 3 1 3 2 3 6 2 3 11 3 4 0 2 0 0 0 4 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0
0.00689777777777778 0.00694736842105263 0.00928871794871795 0.00845075949367089 0.00947341843175761 0.00868158404407762 0.0131654950913587 0.0132445536929373 -1.33796458162043 -0.815541008090904 -1.08682340434078 -1.23559253944089 0.271880807602201 0.199757972072854 0.294464971939061 0.361944563056341 0.00957333333333333 0.0130610526315789 0.00804820512820513 0.00829227848101266 0.0124426988357413 0.0182651508459815 0.0167389866161561 0.0184131600121324 -1.14041537235404 -1.18012230579509 -1.9246797796971 -1.88792460664067 0.230606361231361 0.284919531094236 0.519194004227402 0.549654786275203 0.7147348 0.9884936 -0.00015450648661232 0.00313663082437211 2.27087326410559 -0.157427534591195 280 319 0.918492290886093 0.414613924050633 0.88098625254165 0.800906405748671 1.49004911899356 2.13667726304566 149 34 6 1 3 0 4 0 2 17 687 142 21 5 15 4 0 3 0 2 2 0 0 2 0 0 0 2 9 3 9 684 96 52 4 10 3 4 0 2 7 0 0 5 8 0 2 1 0 0 0 0 0 0 0 0 0 0 2 0 4 3 0 2 1 2 0 0 2 2 4 20 667 81 22 22 32 0 2 1 5 1 0 3 4 10 0 0 4 0 0 0 1 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 1 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 6 0 1 0 1 3 0 3 1 16 5 8 658 226 51 19 0 0 2 1 0 15 0 5 157 88 14 12 7 18 0 2 0 1 0 0 0 0 13 2 0 0 0 5 0 141 85 24 28 1 7 4 1 0 0 4 0 0 0 0 1 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 2 0 5 0 91 114 17 13 12 8 3 6 1 17 8 0 0 0 0 1 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 2 0 0 0 0 0 0 0 0 5 0
0.0110666666666667 0.0131831578947368 0.0124128205128205 0.0129281012658228 0.0145636134100154 0.0144317241252199 0.0142939660991895 0.014698224220211 -1.19016303369901 -0.357087391634388 -0.486515829324243 -0.412008122384525 0.240115323367751 0.086515389266705 0.131604172929699 0.120431075745473 0.0129866666666667 0.01356 0.0132471794871795 0.015093670886076 0.0134324589704026 0.0158974461066876 0.0161747511122407 0.0171210084323336 -0.164312872628262 -0.607803806915404 -0.670583971817139 -0.406231968745714 0.0331876914508493 0.147032805835668 0.180996393993706 0.11841227426937 0.7078992 0.9872696 -0.00175995496426 0.0566491617161714 1.78615100763642 0.0655420754716982 304 319 0.885202762498352 0.754683544303798 0.692365606999956 0.711501989420303 1.28607809353327 2.53091527450637 137 49 5 5 0 1 2 13 3 25 688 118 25 32 5 0 2 3 1 15 0 7 0 7 0 0 1 1 3 17 9 682 106 19 7 32 2 2 11 2 5 1 0 0 0 1 5 2 0 4 0 0 3 0 0 9 0 0 2 0 0 0 0 0 3 0 3 2 0 17 4 16 670 87 26 3 10 7 6 1 12 23 4 0 0 0 0 0 1 5 0 0 0 0 5 0 0 0 0 0 0 5 0 0 0 2 0 0 0 2 1 0 1 0 4 0 0 5 0 0 0 1 0 0 0 2 0 0 0 1 0 0 2 0 0 0 0 2 0 0 0 0 0 0 4 13 2 0 3 4 7 6 12 659 215 48 14 3 8 22 0 0 0 0 9 178 56 17 20 4 4 1 6 0 12 12 0 0 0 0 0 0 0 0 9 0 147 39 46 27 3 5 1 0 2 0 4 1 0 2 2 3 3 9 6 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 107 41 21 5 26 1 2 11 20 3 2 5 28 3 6 4 0 0 0 0 0 1 10 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 3 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0
0.00859555555555556 0.00753052631578947 0.00906923076923077 0.00829594936708861 0.00791808107728994 0.00913257542299075 0.0118489455822229 0.0121139210606134 0.419377188030941 -0.717143503468048 -0.863896558821776 -1.07375065664225 -0.0855604371378182 0.175421393528073 0.234595964147438 0.315172244760483 0.00471111111111111 0.00843789473684211 0.00735230769230769 0.00723645569620253 0.00579716650301585 0.0101473060255453 0.0100621998198242 0.0118716426394012 -0.910232909958092 -0.690468307943283 -0.987787810547121 -1.32954365613174 0.187342452789607 0.168459617202814 0.269314084001548 0.390441919790844 0.7111164 0.9942216 -0.00090419030615937 0.0185947087719296 1.74518341522722 -0.0239729714285715 286 281 0.900812290670428 0.361822784810127 1.89123584789855 0.674883512212029 1.18119933457904 1.1939894330171 171 11 11 7 0 10 0 6 10 1 701 150 28 7 6 9 5 4 0 1 0 0 0 1 2 0 3 2 6 2 5 697 119 39 12 10 7 1 0 3 2 1 0 1 1 10 0 0 0 4 0 0 2 0 0 0 0 0 0 5 0 0 0 1 5 1 0 0 0 5 6 10 683 98 60 12 7 3 4 0 1 2 0 0 1 0 3 0 0 0 0 0 0 1 0 0 1 1 1 0 8 4 0 0 0 0 0 0 0 2 0 1 0 0 0 1 0 2 0 0 0 0 0 0 2 0 2 0 0 1 5 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 2 5 15 680 240 18 11 0 0 0 0 0 12 0 0 191 31 22 3 14 8 0 0 0 4 0 2 0 0 0 0 6 0 0 0 0 174 44 21 10 0 11 0 0 0 0 0 1 0 3 0 0 5 0 0 0 0 6 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 134 60 16 13 11 5 11 5 0 0 3 2 0 0 0 0 0 0 1 0 0 0 3 0 0 0 0 0 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 2 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0114666666666667 0.0128147368421053 0.0122497435897436 0.0112581012658228 0.0148464020199186 0.0147699676594048 0.0144820446004946 0.0151020215888981 -1.12865057631564 -0.546594646787263 -0.569976234643619 -0.871233657006528 0.227646762408667 0.132378815064942 0.154142669238485 0.254530183290233 0.00906666666666667 0.0172505263157895 0.0135005128205128 0.0134759493670886 0.00876644690699958 0.0227750646351127 0.0175853398720292 0.0164749326424343 0.168255024951903 -1.00735843162584 -0.861769234023942 -0.624078543393944 -0.0342464584400068 0.242569600035557 0.232285931420273 0.182033112998666 0.705968 0.9825772 0.00137128665100319 -0.0382948070175446 2.70956572841377 -0.00371603225806444 343 373 0.875881305733892 0.67379746835443 1.00618300216375 0.917156637584996 1.1211153739876 3.45525342003187 149 45 8 2 0 10 1 4 6 29 690 134 28 18 6 12 2 8 0 1 0 0 0 3 0 7 0 15 10 10 11 679 117 36 9 17 1 1 4 2 9 3 1 3 5 0 0 0 0 1 0 0 0 0 0 3 0 0 0 0 5 2 0 6 8 3 8 0 3 11 4 9 673 97 29 13 22 10 5 5 1 0 1 0 1 4 2 0 9 1 0 3 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1 0 0 1 1 0 1 6 0 0 10 1 0 2 1 1 4 5 2 15 4 12 660 286 26 3 13 0 0 15 5 0 0 25 171 91 20 13 18 2 21 1 8 3 0 0 5 0 0 0 0 0 0 20 0 166 52 54 9 5 2 7 15 21 0 1 0 0 5 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 20 149 40 13 30 8 8 37 0 0 2 5 1 0 0 35 2 0 0 0 0 1 0 0 1 5 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20
