 mean lo hi
tpS_10 0.0111114666666667 0.0120401628451815 0.0101827704881518
tpS_20 0.0113517894736842 0.0122746624623165 0.0104289164850519
tpS_40 0.0114792717948718 0.0123734450109089 0.0105850985788347
tpS_80 0.0114317455696203 0.0123346284856423 0.0105288626535982
twS_10 0.0122928208724926 0.0131718787219973 0.0114137630229879
twS_20 0.0131610559151322 0.013942923967185 0.0123791878630794
twS_40 0.0140833181777278 0.0147226267933179 0.0134440095621376
twS_80 0.0145948520938271 0.0151731976406522 0.0140165065470019
taS_10 -0.515740098380316 -0.390255510151171 -0.641224686609462
taS_20 -0.604655032990393 -0.472074474304932 -0.737235591675853
taS_40 -0.74525774987548 -0.619749734894357 -0.870765764856604
taS_80 -0.799203804621395 -0.672384652628903 -0.926022956613887
deS_10 0.1046775998793 0.130090274430148 0.0792649253284519
deS_20 0.147108435024802 0.179297906272265 0.11491896377734
deS_40 0.202168595891661 0.23617658070563 0.168160611077693
deS_80 0.234133268532553 0.271273697970057 0.19699283909505
tpN_10 0.0134785777777778 0.0147482446851428 0.0122089108704127
tpN_20 0.0137578315789474 0.0149413020677346 0.0125743610901601
tpN_40 0.0138760512820513 0.0150634490114799 0.0126886535526227
tpN_80 0.0137125493670886 0.0147987201736464 0.0126263785605308
twN_10 0.0145848225557582 0.0157234598256305 0.0134461852858859
twN_20 0.0155332705682152 0.0164518413098978 0.0146146998265327
twN_40 0.016130552664434 0.0169023275356415 0.0153587777932265
twN_80 0.0167155958741718 0.0174257658794326 0.0160054258689109
taN_10 -0.410919009213837 -0.288545886812822 -0.533292131614852
taN_20 -0.549188872959028 -0.414721801388701 -0.683655944529354
taN_40 -0.593216712616112 -0.45267579587789 -0.733757629354334
taN_80 -0.674627815140177 -0.544803416231983 -0.804452214048371
deN_10 0.0830801723023567 0.107779143845601 0.0583812007591128
deN_20 0.133369964166264 0.165943205425101 0.100796722907427
deN_40 0.160592818181529 0.198538297728062 0.122647338634995
deN_80 0.197174312967833 0.235067220728579 0.159281405207088
pBar2 0.29078384 0.292133936261988 0.289433743738012
pBar4 0.01343116 0.0146742592438617 0.0121880607561383
ldSumS -1.71840004999997 -0.947230969590459 -2.48956913040948
rmeanS 6.60544753871434e-06 9.57622804852486e-06 3.63466702890382e-06
ldSumN 0.604001450000002 1.73504443225498 -0.52704153225498
rmeanN 4.99720396691939e-05 6.07890154927583e-05 3.91550638456295e-05
n2 926.85 932.492502644585 921.207497355415
n4 330.78 339.328169704576 322.231830295424
