 mean CIlo CIhi
tpS_10 0.0113336888888889 0.0104409850348732 0.0122263927429046
tpS_20 0.0113313263157895 0.0103543751595647 0.0123082774720142
tpS_40 0.0112703076923077 0.0104014927304373 0.0121391226541781
tpS_80 0.0114813012658228 0.010557839228271 0.0124047633033745
twS_10 0.0124723916397812 0.0115658206794799 0.0133789626000824
twS_20 0.0127596735878995 0.0119885909379304 0.0135307562378687
twS_40 0.013926272629138 0.0132922569027792 0.0145602883554967
twS_80 0.0144737128832209 0.0139087167205032 0.0150387090459386
taS_10 -0.460023253244742 -0.594407500096815 -0.32563900639267
taS_20 -0.52366848394816 -0.653945722306931 -0.393391245589389
taS_40 -0.766946758098315 -0.887104873261953 -0.646788642934676
taS_80 -0.774302227663464 -0.898431915818284 -0.650172539508644
deS_10 0.0932252506739968 0.0659920740396754 0.120458427308318
deS_20 0.127628300431953 0.0959563089829703 0.159300291880935
deS_40 0.208089936109524 0.175498607734814 0.240681264484234
deS_80 0.226927586658422 0.190574622343151 0.263280550973692
tpN_10 0.0142049777777778 0.0129325441182425 0.0154774114373131
tpN_20 0.0134531578947368 0.0122745104589005 0.0146318053305732
tpN_40 0.0135505230769231 0.0124079396721029 0.0146931064817432
tpN_80 0.0136085037974684 0.0124657355469242 0.0147512720480125
twN_10 0.0151009117688315 0.0139073533286165 0.0162944702090466
twN_20 0.0152897352236022 0.0143156068167869 0.0162638636304174
twN_40 0.016146539337045 0.0153244755494077 0.0169686031246823
twN_80 0.0166840996794142 0.0160094145218986 0.0173587848369298
taN_10 -0.322982182164006 -0.454812399541873 -0.191151964786139
taN_20 -0.555577637465141 -0.691978900938938 -0.419176373991344
taN_40 -0.665201882214101 -0.797657544668438 -0.532746219759763
taN_80 -0.701448212327165 -0.8365790301139 -0.566317394540431
deN_10 0.0653485788360411 0.038723570035318 0.0919735876367641
deN_20 0.134913153382392 0.101859162486773 0.167967144278012
deN_40 0.180041923435028 0.144255230927458 0.215828615942598
deN_80 0.205030592567426 0.165595177386436 0.244466007748416
pBar2 0.70921616 0.707866063738012 0.710566256261988
pBar4 0.98656884 0.985325740756138 0.987811939243862
LD2 -0.00048379780376174 -0.000826791428278194 -0.000140804179245286
rmean2 6.60544753871434e-06 3.63466702890382e-06 9.57622804852486e-06
LD4 0.000359028317408566 -4.07771575166124e-05 0.000758833792333745
rmean4 4.99720396691939e-05 3.91550638456295e-05 6.07890154927583e-05
n2 298.46 291.700704461059 305.219295538941
n4 330.52 322.041799280954 338.998200719046
B 0.891811470309632 0.885261881478394 0.89836105914087
Bprime 0.680425189873418 0.62328677734621 0.737563602400625
cSq10 0.849067688435603 0.752733025453217 0.945402351417989
cSq20 1.39284850902972 1.22491153124402 1.56078548681542
cSq40 2.21772431866972 1.87053140479554 2.5649172325439
cSq80 3.80025789266694 3.12170088653566 4.47881489879822
