 mean CIlo CIhi
tpS_10 0.00242506666666667 0.00229032218603744 0.00255981114729589
tpS_20 0.00241951578947368 0.00228012891997924 0.00255890265896813
tpS_40 0.00236850256410256 0.00225497183054365 0.00248203329766148
tpS_80 0.00241386329113924 0.00229757229042873 0.00253015429184974
twS_10 0.00328317576097629 0.00312314786391109 0.00344320365804149
twS_20 0.0041051490265567 0.00392036667050253 0.00428993138261087
twS_40 0.00514206622568211 0.00497363074349636 0.00531050170786787
twS_80 0.00642360854107461 0.00623210766964649 0.00661510941250274
taS_10 -1.23533174120881 -1.32389252884098 -1.14677095357663
taS_20 -1.62733403872013 -1.70318109944784 -1.55148697799242
taS_40 -1.92768798295237 -1.98688045847155 -1.86849550743318
taS_80 -2.08428198784003 -2.12837101087849 -2.04019296480156
deS_10 0.2614280142664 0.242706814746977 0.280149213785823
deS_20 0.411625794842253 0.392458445511326 0.43079314417318
deS_40 0.539400798959543 0.522833235550721 0.555968362368364
deS_80 0.625068215674423 0.61180196771039 0.638334463638456
tpN_10 0.00638186666666667 0.00589277847881321 0.00687095485452012
tpN_20 0.00632713684210526 0.00584338672194106 0.00681088696226947
tpN_40 0.00639753333333333 0.00594635372826865 0.00684871293839802
tpN_80 0.00633098607594937 0.00589405641600598 0.00676791573589275
twN_10 0.00742885678215739 0.00692834358683959 0.00792936997747518
twN_20 0.00828132919529223 0.00781403824328672 0.00874862014729773
twN_40 0.0095271164836111 0.00914138842149302 0.00991284454572918
twN_80 0.0107216277333803 0.0103567054478278 0.0110865500189327
taN_10 -0.689659047627928 -0.817331154784345 -0.561986940471511
taN_20 -1.00434467235677 -1.1201255505167 -0.888563794196847
taN_40 -1.23931157533769 -1.34417911774852 -1.13444403292686
taN_80 -1.41711233844334 -1.51295929612681 -1.32126538075987
deN_10 0.141313972194256 0.115204822082402 0.16742312230611
deN_20 0.247299205589821 0.218757326894422 0.275841084285219
deN_40 0.339136024009139 0.310376116708618 0.36789593130966
deN_80 0.417815627551678 0.389466103117538 0.446165151985818
pBar2 0.974138264 0.973624130406092 0.974652397593909
pBar4 0.994121684 0.993644666547719 0.994598701452281
LD2 -0.000993819619898868 -0.00124561666050971 -0.00074202257928803
minus2LdS 0.0067597402302588 0.00514672049139586 0.00837275996912175
LD4 0.000312838243680113 -0.000144116322787753 0.000769792810147978
minus2LdN -0.00360348375171574 -0.0105584957699628 0.0033515282665313
n2 193.71 190.444189914311 196.975810085689
n4 254.12 248.880950985 259.359049015
B 0.181699135436209 0.180662003445488 0.182736267426929
Bprime 0.316549303797468 0.294702820800299 0.338395786794637
cSq10 0.834209846449778 0.760578115971905 0.907841576927651
cSq20 1.22098178875883 1.05739499660672 1.38456858091095
cSq40 1.51624356217884 1.32443229068902 1.70805483366865
cSq80 2.07682498895998 1.78385993549477 2.36979004242518
