tick,freq_mean,freq_sd
1,4.4e-06,4.66997e-05
1001,0.0040086,0.0294992
2001,0.0078214,0.0469349
3001,0.0116379,0.0686437
4001,0.0150434,0.0761797
5001,0.018227,0.0888963
6001,0.0216958,0.0953164
7001,0.0251315,0.104916
8001,0.0280611,0.111232
9001,0.0309146,0.115328
10001,0.0336114,0.122079
11001,0.0365795,0.126227
12001,0.0395781,0.130378
13001,0.0423691,0.13422
14001,0.0445084,0.140017
15001,0.0469752,0.143219
16001,0.0504092,0.14458
17001,0.0531424,0.149411
18001,0.05596,0.150154
19001,0.0584823,0.158667
20001,0.0610704,0.160827
21001,0.0636477,0.164262
22001,0.0662403,0.164819
23001,0.0680079,0.169191
24001,0.070682,0.169724
25001,0.072242,0.173891
26001,0.0737443,0.17514
27001,0.0756991,0.17737
28001,0.0778955,0.178346
29001,0.0802495,0.180664
30001,0.0820632,0.182622
31001,0.0840886,0.184542
32001,0.0854561,0.186332
33001,0.087395,0.186033
34001,0.0890409,0.187833
35001,0.0912179,0.190984
36001,0.0923095,0.190859
37001,0.0935544,0.193123
38001,0.0959099,0.193359
39001,0.098053,0.193587
40001,0.0996923,0.197222
41001,0.101097,0.197846
42001,0.102455,0.199439
43001,0.104091,0.199762
44001,0.104812,0.201583
45001,0.105894,0.202427
46001,0.107442,0.20234
47001,0.10828,0.204049
48001,0.109812,0.204062
49001,0.111126,0.205142
50001,0.112047,0.206298
51001,0.113217,0.206498
52001,0.114053,0.208167
53001,0.115118,0.208326
54001,0.116725,0.208373
55001,0.117458,0.210515
56001,0.118454,0.210749
57001,0.119494,0.210703
58001,0.120423,0.210746
59001,0.121973,0.210324
60001,0.123131,0.211154
61001,0.124645,0.212828
62001,0.126,0.214446
63001,0.127314,0.215546
64001,0.12839,0.216252
65001,0.12964,0.216061
66001,0.130751,0.214952
67001,0.131321,0.218282
68001,0.131865,0.216671
69001,0.132113,0.218747
70001,0.132666,0.218532
71001,0.133675,0.219074
72001,0.134853,0.219469
73001,0.13588,0.218536
74001,0.137164,0.217714
75001,0.137476,0.221232
76001,0.138805,0.220295
77001,0.139132,0.222662
78001,0.139225,0.221175
79001,0.140336,0.222251
80001,0.141446,0.221811
81001,0.141906,0.222753
82001,0.142224,0.22407
83001,0.142511,0.224532
84001,0.143781,0.221878
85001,0.144186,0.225004
86001,0.144158,0.224159
87001,0.144553,0.22448
88001,0.145202,0.223932
89001,0.145656,0.224323
90001,0.145912,0.225218
91001,0.14716,0.22362
92001,0.147574,0.226018
93001,0.148173,0.22661
94001,0.148598,0.227072
95001,0.149266,0.225861
96001,0.149731,0.226657
97001,0.15043,0.226884
98001,0.151176,0.226817
99001,0.151621,0.227271
100001,0.152093,0.227829
101001,0.152472,0.228511
102001,0.153115,0.227327
103001,0.154122,0.227704
104001,0.154359,0.229148
105001,0.154921,0.229372
106001,0.155567,0.229731
107001,0.156246,0.227644
108001,0.156582,0.229704
109001,0.156564,0.229526
110001,0.156953,0.229445
111001,0.157215,0.229789
112001,0.157648,0.229363
113001,0.1579,0.230165
114001,0.15823,0.230806
115001,0.158633,0.230922
116001,0.15953,0.229703
117001,0.159365,0.231681
118001,0.159332,0.230818
119001,0.159519,0.230799
120001,0.160162,0.230097
121001,0.160171,0.231411
122001,0.160521,0.23081
123001,0.161005,0.230668
124001,0.161221,0.230925
125001,0.161797,0.230801
126001,0.161584,0.232505
127001,0.161696,0.231238
128001,0.1619,0.231811
129001,0.162486,0.231764
130001,0.162328,0.23239
131001,0.162145,0.232101
132001,0.162093,0.231985
133001,0.1628,0.232382
134001,0.162507,0.232752
135001,0.162749,0.231776
136001,0.163092,0.229531
137001,0.163059,0.232263
138001,0.162651,0.233086
139001,0.163454,0.231607
140001,0.163278,0.232062
141001,0.163503,0.231026
142001,0.164567,0.229007
143001,0.164275,0.23324
144001,0.164294,0.232345
145001,0.163855,0.233336
146001,0.164264,0.232619
147001,0.164644,0.232929
148001,0.164614,0.23324
149001,0.165201,0.233448
150001,0.165544,0.232857
151001,0.165541,0.232782
152001,0.165662,0.233238
153001,0.166002,0.232213
154001,0.165923,0.233369
155001,0.165476,0.233287
156001,0.165,0.233196
157001,0.165553,0.232026
158001,0.165811,0.233289
159001,0.165977,0.233938
160001,0.166127,0.233777
161001,0.166002,0.233629
162001,0.165658,0.232762
163001,0.165599,0.233429
164001,0.166002,0.232782
165001,0.166048,0.233133
166001,0.166117,0.233472
167001,0.165973,0.233479
168001,0.166173,0.23196
169001,0.166613,0.232982
170001,0.167275,0.234519
171001,0.166964,0.233541
172001,0.167492,0.232729
173001,0.168212,0.232472
174001,0.168305,0.234197
175001,0.168717,0.232874
176001,0.168814,0.233761
177001,0.169229,0.23367
178001,0.169383,0.233641
179001,0.169326,0.234334
180001,0.169252,0.234442
181001,0.169078,0.233365
182001,0.169351,0.233963
183001,0.169283,0.235412
184001,0.169762,0.233836
185001,0.169411,0.231872
186001,0.169642,0.23476
187001,0.169876,0.234013
188001,0.170392,0.233994
189001,0.170226,0.234304
190001,0.170985,0.234692
191001,0.170665,0.235667
192001,0.170496,0.234344
193001,0.17092,0.235999
194001,0.171062,0.234676
195001,0.170932,0.234993
196001,0.170535,0.234445
197001,0.171348,0.235482
198001,0.171474,0.23439
199001,0.171175,0.232337
200001,0.170717,0.235424
201001,0.170595,0.235459
202001,0.171084,0.233627
203001,0.171497,0.234516
204001,0.171495,0.235553
205001,0.17099,0.235679
206001,0.171454,0.234837
207001,0.171851,0.235616
208001,0.171942,0.235955
209001,0.1712,0.235467
210001,0.171283,0.233729
211001,0.170997,0.234158
212001,0.171424,0.234453
213001,0.171267,0.23497
214001,0.171229,0.235835
215001,0.171025,0.234836
216001,0.170958,0.235221
217001,0.171717,0.235122
218001,0.172152,0.234825
219001,0.172579,0.23427
220001,0.172494,0.236017
221001,0.172722,0.235233
222001,0.17251,0.23467
223001,0.172661,0.23542
224001,0.172267,0.235931
225001,0.172323,0.235174
226001,0.172631,0.234851
227001,0.172797,0.234598
228001,0.173228,0.235612
229001,0.173038,0.23565
230001,0.172793,0.235976
231001,0.172326,0.234497
232001,0.172461,0.234653
233001,0.171546,0.235544
234001,0.171201,0.234867
235001,0.170812,0.235993
236001,0.170558,0.234752
237001,0.171261,0.235629
238001,0.171301,0.234246
